id|string_busca|eixo|titulo|autores|ano|periodico|doi|url|acesso|arquivo_local|duplicata_de
S1A01|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|The knowledge management functions of corporate university and their evolution: case studies of two Chinese corporate universities|Y Chen; Y Xu; Q Zhai|2019|Journal of Knowledge Management|10.1108/JKM-04-2018-0228|https://www.emerald.com/jkm/article/23/10/2086/264965|BAIXADO|01_PDFs/eixo1_corporate_university/S1A01_Chen_2019_knowledge-management-functions-corporate.pdf|
S1A02|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Influencing factors of knowledge enhancement of corporate universities in China|Y Chen; Y Xu|2022|Kybernetes|10.1108/K-03-2021-0218|https://www.emerald.com/k/article/51/4/1555/516282|BAIXADO|01_PDFs/eixo1_corporate_university/S1A02_Chen_2022_influencing-factors-knowledge-enhancement.pdf|
S1A03|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Corporate universities as knowledge management tools|E Scarso|2017|VINE Journal of Information and Knowledge Management Systems|10.1108/VJIKMS-12-2016-0074|https://www.emerald.com/vjikms/article/47/4/538/382786|BAIXADO|01_PDFs/eixo1_corporate_university/S1A03_Scarso_2017_corporate-universities-knowledge-management.pdf|
S1A04|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Proposed model of corporate university|MA Garzón Castrillón|2019|Visión de Futuro|10.36995/j.visiondefuturo.2019.23.01.006.en|https://rid.unam.edu.ar/handle/20.500.12219/2488|BAIXADO|01_PDFs/eixo1_corporate_university/S1A04_GarzonCastrillon_2019_proposed-model-corporate-university.pdf|
S1A05|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Corporate university model: enhancing competitiveness in firms from emerging economies|DP Mora-Mora; CA Bernal-Torres; LE Torres-Guevara|2025|The Learning Organization|10.1108/TLO-10-2023-0193|https://www.emerald.com/tlo/article/32/7/153/1312383|BAIXADO|01_PDFs/eixo1_corporate_university/S1A05_MoraMora_2025_corporate-university-model-enhancing.pdf|
S1A06|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Lifelong learning in the workplace: the knowledge management role of corporate universities in China|Y Han; Y Zhou; S Carr; J Jiang|2024|Humanities and Social Sciences Communications|10.1057/s41599-024-02693-3|https://www.nature.com/articles/s41599-024-02693-3|BAIXADO|01_PDFs/eixo1_corporate_university/S1A06_Han_2024_lifelong-learning-workplace-knowledge.pdf|
S1A07|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Identifying the success factors of knowledge management tools in research projects (Case study: A corporate university)|H Ghomi; F Barzinpour|2018|Management Science Letters|NÃO ENCONTRADO|https://pdfs.semanticscholar.org/5393/80eb8edc1d80e96dfbe84f5183ef6272ae2d.pdf|BAIXADO|01_PDFs/eixo1_corporate_university/S1A07_Ghomi_2018_identifying-success-factors-knowledge.pdf|
S1A08|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Kolaborasi stakeholder's dalam penyelenggaraan corporate university pada badan pengembangan sumber daya manusia provinsi sulawesi selatan|M Sultan|2022|Jurnal Widyaiswara Indonesia|NÃO ENCONTRADO|https://ejournal.iwi.or.id/ojs/index.php/iwi/article/download/135/66|BAIXADO|01_PDFs/eixo1_corporate_university/S1A08_Sultan_2022_kolaborasi-stakeholders-dalam-penyelenggaraan.pdf|
S1A09|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|The role and evolution of knowledge network-based intellectual capital in the corporate university|Y Chen; L Zhou; Y Wang|2023|Journal of Intellectual Capital|10.1108/JIC-12-2022-0238|https://www.emerald.com/jic/article/24/6/1604/226655|BAIXADO|01_PDFs/eixo1_corporate_university/S1A09_Chen_2023_role-evolution-knowledge-networkbased.pdf|
S1A10|"corporate university ""knowledge management"" model framework"|eixo1_corporate_university|Path of corporate university to enable enterprises: Based on the best corporate universities in China|Y Zhou|2023|Dissertação (PhD) - University of Otago|NÃO ENCONTRADO|https://ourarchive.otago.ac.nz/esploro/outputs/graduate/Path-of-corporate-university-to-enable/9926501875701891|BAIXADO|01_PDFs/eixo1_corporate_university/S1A10_Zhou_2023_path-corporate-university-enable.pdf|
